ARGENTINA Copa de la Liga Profesional - Round 4 06.03.2021 02:30:00 Central Cordoba Banfield 3.10 3.20 2.10 -> Value: 13.67 | + 22
ENGLAND Premier League - Round 27 06.03.2021 22:00:00 Brighton Leicester 2.50 3.20 2.87 -> Value: 0.27 | - 10
ITALY Serie A - Round 26 06.03.2021 19:00:00 Udinese Sassuolo 2.40 3.40 2.87 -> Value: 1.02 | - 10
NETHERLANDS Eredivisie - Round 25 06.03.2021 17:30:00 Feyenoord Venlo 1.20 6.00 10.00 -> Value: 1.31 | - 10
NETHERLANDS Eredivisie - Round 25 06.03.2021 21:00:00 Heerenveen Den Haag 1.45 4.50 5.75 -> Value: 7.05 | - 10
NETHERLANDS Eredivisie - Round 25 06.03.2021 22:00:00 Waalwijk Utrecht 6.00 4.00 1.53 -> Value: 2.51 | - 10
AFRICA CAF Champions League 06.03.2021 21:00:00 Al Ahly (Egy) AS Vita Club (Drc) 1.25 5.50 9.00 -> Value: 2.08 | + 45.0
AFRICA CAF Champions League 06.03.2021 21:00:00 Wydad (Mar) Horoya (Gui) 1.25 4.75 10.00 -> Value: 12.04 | - 10
ALGERIA Ligue 2 - Round 4 06.03.2021 15:30:00 RC Kouba Harrach 1.80 3.00 4.50 -> Value: 5.69 | - 10
ALGERIA U21 League - Round 16 06.03.2021 11:00:00 Paradou U21 USM Alger U21 1.50 4.25 5.00 -> Value: 9.67 | - 10
ARGENTINA Primera B - Apertura - Round 1 06.03.2021 22:10:00 Defensores Unidos Acassuso 2.75 2.85 2.50 -> Value: 13.85 | + 18.5
ARGENTINA Primera B - Apertura - Round 1 06.03.2021 22:10:00 Deportivo Armenio Flandria 2.40 2.85 2.90 -> Value: 5.75 | - 10
ARGENTINA Primera B - Apertura - Round 1 06.03.2021 22:10:00 UAI Urquiza San Miguel 1.85 3.25 3.80 -> Value: 3.75 | - 10
ARGENTINA Primera C - Apertura - Round 1 06.03.2021 22:10:00 Excursionistas Victoriano A. 2.00 3.20 3.40 -> Value: 4.40 | - 10
AUSTRIA 2. Liga - Round 17 06.03.2021 15:30:00 A. Klagenfurt Dornbirn 1.53 4.20 6.50 -> Value: 15.17 | - 10
BANGLADESH Premier League - Round 13 06.03.2021 12:00:00 Muktijoddha Sangsad Abahani Chittagong 5.00 3.90 1.53 -> Value: 0.19 | - 10
BELGIUM Jupiler League - Round 29 06.03.2021 17:15:00 Eupen Leuven 1.83 3.75 4.00 -> Value: 1.43 | + 27.5
BRAZIL Campeonato Carioca - Taca Guanabara - Round 2 06.03.2021 23:00:00 Macae Flamengo RJ 7.00 4.00 1.40 -> Value: 1.03 | - 10
BRAZIL Campeonato Paulista A2 - Round 2 06.03.2021 20:00:00 Sao Bernardo RB Brasil 1.65 3.70 4.33 -> Value: 2.21 | + 27
BRAZIL Campeonato Sergipano - Round 3 06.03.2021 21:00:00 Lagarto Frei Paulistano 1.50 4.25 4.75 -> Value: 6.29 | - 10
BRAZIL Copa do Nordeste - Round 2 06.03.2021 21:00:00 Ceara Vitoria 1.85 3.00 4.25 -> Value: 1.56 | - 10
BRAZIL Copa do Nordeste - Round 2 06.03.2021 23:15:00 Bahia Botafogo PB 1.40 4.10 6.75 -> Value: 3.16 | + 31
CAMEROON Elite One - Round 1 06.03.2021 16:00:00 Colombe Lobo New Star 1.36 4.10 7.50 -> Value: 6.61 | POSTPONED
CAMEROON Elite Two - Round 1 06.03.2021 16:00:00 Foncha OFTA 3.40 2.75 2.20 -> Value: 7.04 | + 17.5
CAMEROON Elite Two - Round 1 06.03.2021 16:00:00 Leopard de Douala Bafang 2.90 2.75 2.50 -> Value: 19.33 | UNKNOWN
CAMEROON Elite Two - Round 1 06.03.2021 16:00:00 Ngaoundere AS Fap 2.20 2.80 3.30 -> Value: 1.59 | - 10
CYPRUS Division 2 - Round 22 06.03.2021 15:30:00 Othellos Athienou Ypsonas 1.25 6.25 7.25 -> Value: 0.55 | - 10
CYPRUS Division 2 - Round 22 06.03.2021 15:30:00 Thoi Lakatamias Sotiras 6.00 4.40 1.42 -> Value: 15.67 | - 10
CZECH REPUBLIC Division 2 - Round 13 06.03.2021 15:30:00 Lisen Hradec Kralove 3.20 2.90 2.25 -> Value: 7.97 | - 10
ECUADOR Liga Pro - First stage - Round 3 06.03.2021 22:00:00 Orense Aucas 2.60 3.40 2.40 -> Value: 8.99 | + 24
EGYPT Premier League - Round 15 06.03.2021 19:00:00 Aswan SC Pyramids 8.00 3.60 1.45 -> Value: 2.39 | - 10
ENGLAND League One - Round 34 06.03.2021 17:00:00 Sunderland Rochdale 1.40 4.75 7.50 -> Value: 2.42 | - 10
ENGLAND League Two - Round 34 06.03.2021 17:00:00 Stevenage Harrogate 3.10 3.10 2.45 -> Value: 3.65 | - 10
ETHIOPIA Premier League - Round 15 06.03.2021 14:00:00 Jimma Aba Jifar Wolkite Kenema 3.10 3.20 2.10 -> Value: 0.69 | - 10
FRANCE Coupe de France - 1/16-finals 06.03.2021 15:15:00 Ales Montpellier 7.50 5.50 1.28 -> Value: 0.58 | - 10
FRANCE Coupe de France - 1/16-finals 06.03.2021 19:45:00 Lyon Sochaux 1.25 4.50 10.00 -> Value: 5.24 | - 10
GAMBIA GFA League - Round 8 06.03.2021 18:00:00 Tallinding United Gambia Ports 4.75 2.50 2.00 -> Value: 6.42 | - 10
GAMBIA GFA League - Round 8 06.03.2021 18:00:00 WAA Banjul Marimoo 1.91 2.80 4.33 -> Value: 22.84 | - 10
GERMANY 3. Liga - Round 27 06.03.2021 15:00:00 Hansa Rostock Kaiserslautern 2.00 3.75 3.50 -> Value: 0.94 | - 10
GERMANY 3. Liga - Round 27 06.03.2021 15:00:00 Magdeburg Mannheim 2.55 3.40 2.62 -> Value: 12.74 | + 24
GERMANY Regionalliga West - Round 29 06.03.2021 15:00:00 Wegberg-Beeck Dortmund II 7.00 5.00 1.33 -> Value: 2.81 | - 10
GERMANY Regionalliga West - Round 29 06.03.2021 15:00:00 Wiedenbruck Dusseldorf II 2.95 3.00 2.30 -> Value: 1.34 | - 10
